id,ids,name,price,images,img,Gift
1,1,小米MIX 2S 8GB+256GB,3399,../images/pms_2.jpg,../images/mix2s80-80white.png,
2,1,小米6X 6GB+128GB,1499,../images/pms_3.jpg,../images/80808080808080.jpg,
3,1,红米6 Pro,1209,../images/pms_5.jpg,../images/mix2s80-80white.png,
4,1,小米8 SE 6GB+64GB,1699,../images/pms_6.jpg,../images/m8se-80.png,
5,1,红米6A 2GB+16GB,549,../images/pms_7.jpg,../images/666666.png,
6,1,小米Max 3 4GB+64GB,1599,../images/pms_8.jpg,../images/max3-80-80.png,
7,1,小米Play,1099,../images/pms_9.jpg,../images/note780-80.png,
8,2,小米电视4X 43英寸,1399,../images/pm1.jpg,../images/TV4X-43xin.png,
9,2,小米电视4 55英寸,3699,../images/pm2.jpg,../images/TV4-55.png,
10,2,小米电视4A 32英寸,899,../images/pm3.jpg,../images/TV4C-32.png,
11,2,小米电视4C 50英寸,1899,../images/pm4.jpg,../images/TV4C-50.png,
12,2,小米电视4A 58英寸,2499,../images/pm5.jpg,../images/TV4A-58-x.png,
13,2,小米电视4 65英寸全面屏旗舰版,5999,../images/pm6.jpg,../images/TV4X-55.png,
14,3,15.6"笔记本 i7 8G MX110,4999,../images/p1.jpg,../images/pc1.jpg,
15,3,13.3"小米笔记本Air 四核i5 8G 256G 集显 银色,4999,../images/p2.jpg,../images/pc2.jpg,
16,3,12.5"小米笔记本Air M3 4G 128G 金色,3599,../images/p3.jpg,../images/pc3.jpg,
17,3,小米游戏本15.6”8代i5 8G 1T+256G 1060 6G,7999,../images/p4.jpg,../images/pc4.jpg,
18,3,小米平板4 Plus,1499,../images/p5.jpg,../images/pingban2.jpg,
19,3,悦米机械键盘Pro静音版,599,../images/p6.jpg,../images/pc6.jpg,
